Cliente,Tipo de Transacao,Valor da Transacao,Valor Anterior a Transacao,Valor Apos a Transacao,Horario da Transacao,Classe
cliente1D4F0B,Saque,390.39,5446.75,5056.36,2023-03-14T07:29:28.256579,0
clienteCF3D89,Saque,3272.03,12167.89,8895.86,2023-02-12T17:54:09.119410,0
cliente0F0D32,PIX,4905.72,8217.63,3311.91,2023-10-03T17:31:42.087599,0
clienteFCC0EA,PIX,3073.23,7833.16,4759.93,2024-05-23T17:57:02.055680,0
cliente9BA227,PIX,4233.03,6920.82,2687.79,2022-10-07T17:30:36.879557,0
cliente62C357,Débito,4848.49,7354.41,2505.92,2025-07-08T19:16:37.207970,0
cliente320C76,Crédito,1600.44,7296.87,5696.43,2024-09-07T02:23:16.975044,0
cliente32CB58,Crédito,1296.71,10562.92,9266.21,2023-08-28T23:09:19.817457,0
cliente67AFD9,Débito,1187.35,10935.18,9747.83,2024-05-21T09:01:08.163132,0
cliente84F77D,PIX,3271.51,3405.61,134.1,2022-09-26T10:33:12.415982,0
cliente27854A,Débito,402.91,5970.0,5567.09,2025-12-14T19:58:56.262845,0
cliente6D0019,PIX,588.16,1367.28,779.12,2022-11-24T19:28:37.458570,0
cliente819CDC,PIX,3404.08,8021.06,4616.98,2025-02-24T12:50:38.214355,0
cliente8814CB,Saque,1054.51,5389.27,4334.76,2023-04-20T22:51:52.761862,1
cliente967D82,PIX,1346.28,5566.45,4220.17,2024-10-04T15:20:33.641623,0
cliente713B73,Crédito,1464.45,8456.61,6992.16,2023-12-17T12:59:50.461127,0
clienteA373FC,PIX,3249.55,3864.95,615.4,2024-03-22T01:46:13.936206,1
cliente95D579,Crédito,2003.1,9353.03,7349.93,2022-01-17T01:30:28.231677,0
clienteF394CF,Débito,1297.71,3770.82,2473.11,2023-10-01T11:12:19.702016,0
cliente0DF1E0,Crédito,2093.57,6882.92,4789.35,2024-11-01T08:57:09.766066,0
cliente04E757,Débito,3560.36,9567.92,6007.56,2024-01-24T00:03:41.824520,1
clienteF1AFDE,Crédito,378.15,5648.46,5270.31,2024-06-27T10:32:55.018541,0
cliente5DA7EA,PIX,4771.41,14399.42,9628.01,2024-06-19T20:05:17.322277,0
cliente5A17C7,Crédito,2025.1,7465.15,5440.05,2022-12-25T15:41:58.791499,0
clienteCB0634,PIX,829.32,8685.39,7856.07,2025-11-22T05:43:43.539706,1
cliente931BCF,Saque,3387.53,4802.86,1415.33,2024-06-05T19:17:26.755271,0
cliente3062B8,PIX,1906.45,11379.41,9472.96,2025-03-16T08:40:13.168282,1
cliente05648C,Débito,211.79,9630.0,9418.21,2025-03-15T20:02:38.078484,0
clienteCC43D8,Débito,4097.05,8320.51,4223.46,2024-01-30T23:15:41.189177,1
cliente67E4A5,Crédito,4219.14,6147.18,1928.04,2023-09-30T02:08:30.591738,0
cliente0EC92B,Débito,1881.32,10357.16,8475.84,2024-04-01T15:05:19.496616,0
clienteD5A20D,Saque,2727.42,10490.34,7762.92,2024-10-24T16:01:05.973934,1
clienteE83F8E,PIX,3106.01,5762.07,2656.06,2025-10-12T20:13:55.903350,0
clienteD1BEDE,Saque,570.55,9945.92,9375.37,2023-06-29T07:08:42.207665,0
cliente835A85,Crédito,2490.26,10671.66,8181.4,2023-06-02T01:57:32.904295,1
clienteA48221,Saque,3395.98,5734.95,2338.97,2023-10-17T14:51:03.972524,0
cliente6BADC5,Saque,2556.32,5520.95,2964.63,2023-10-17T22:31:58.279479,0
clienteB3B262,Débito,2259.68,8043.09,5783.41,2024-06-04T11:34:07.562444,0
clienteCA9BC9,Saque,3570.42,3687.72,117.3,2022-07-10T05:03:54.023490,0
cliente2945FF,Saque,591.68,9027.79,8436.11,2024-10-29T21:13:02.149214,0
cliente031F4E,Débito,725.86,8919.4,8193.54,2022-11-07T05:42:39.721305,0
clienteFEA668,Saque,2490.54,10506.82,8016.28,2022-05-31T04:46:24.536829,0
clienteCB910F,Débito,3829.74,5769.55,1939.81,2025-06-06T22:09:48.831550,0
cliente31806C,Débito,3356.8,13344.98,9988.18,2024-03-20T13:56:28.419152,1
cliente4091F9,Débito,2672.25,6384.97,3712.72,2025-03-19T03:26:32.896735,0
clienteBC61E6,PIX,1155.66,8549.46,7393.8,2023-06-17T09:46:26.480351,1
cliente1EF324,PIX,3425.82,8243.64,4817.82,2022-03-10T08:10:37.086715,0
cliente01001D,Saque,4478.7,14259.33,9780.63,2025-09-23T17:17:21.312745,0
clienteD716DC,PIX,4845.68,12691.75,7846.07,2022-01-22T01:59:38.700247,0
cliente3B839F,PIX,1750.82,3795.59,2044.77,2022-04-21T21:45:30.972401,0
cliente67F811,PIX,293.53,522.65,229.12,2023-08-27T11:06:36.704737,0
clienteF67A68,Crédito,4347.19,6816.33,2469.14,2024-03-15T17:33:27.152612,0
cliente87FBD7,Débito,230.72,3720.88,3490.16,2025-01-18T12:18:24.171139,0
cliente80FAE7,PIX,4021.78,11361.64,7339.86,2025-06-12T01:57:29.347583,0
cliente6299E2,Saque,3106.78,4586.84,1480.06,2024-12-07T02:18:12.273914,0
cliente8B8F52,Crédito,4403.97,13803.27,9399.3,2023-05-14T08:21:53.890293,0
cliente40F4E0,Crédito,1785.14,2455.97,670.83,2024-02-06T00:10:04.971980,1
cliente8CB204,Crédito,4048.47,9641.13,5592.66,2022-08-15T05:10:34.094132,0
cliente210C40,Crédito,2131.52,8187.42,6055.9,2024-08-02T16:48:52.678267,0
clienteE1FA02,PIX,4937.2,10500.45,5563.25,2025-06-20T13:10:42.804792,0
clienteD75AB4,PIX,401.54,2182.48,1780.94,2025-05-19T08:49:12.013918,0
